Source;Target;Type;Weight
21;80;Direct;1
21;221;Direct;1
21;1118;Direct;1
21;553;Direct;1
299;793;Direct;1
299;1118;Direct;1
299;1109;Direct;1
299;337;Direct;1
299;859;Direct;1
299;609;Direct;1
299;502;Direct;1
299;24;Direct;1
299;1032;Direct;1
299;265;Direct;1
302;786;Direct;1
302;446;Direct;1
302;1177;Direct;1
302;325;Direct;1
302;571;Direct;1
302;600;Direct;1
302;1118;Direct;1
302;1169;Direct;1
302;1205;Direct;1
302;221;Direct;1
302;835;Direct;1
302;753;Direct;1
302;556;Direct;1
302;329;Direct;1
302;793;Direct;1
302;1023;Direct;1
302;24;Direct;1
302;346;Direct;1
302;939;Direct;1
302;847;Direct;1
306;763;Direct;1
306;158;Direct;1
306;803;Direct;1
306;911;Direct;1
306;308;Direct;1
306;303;Direct;1
306;1286;Direct;1
306;793;Direct;1
306;1177;Direct;1
306;221;Direct;1
306;760;Direct;1
306;582;Direct;1
306;1118;Direct;1
306;1239;Direct;1
306;307;Direct;1
306;352;Direct;1
306;1023;Direct;1
306;600;Direct;1
306;943;Direct;1
306;683;Direct;1
306;571;Direct;1
306;104;Direct;1
306;1293;Direct;1
306;776;Direct;1
306;609;Direct;1
306;93;Direct;1
306;1163;Direct;1
306;1254;Direct;1
313;1100;Direct;1
313;835;Direct;1
313;1118;Direct;1
313;793;Direct;1
313;939;Direct;1
313;484;Direct;1
313;1023;Direct;1
313;1166;Direct;1
313;1298;Direct;1
313;1131;Direct;1
313;911;Direct;1
915;1038;Direct;1
915;151;Direct;1
915;793;Direct;1
915;1166;Direct;1
915;683;Direct;1
915;502;Direct;1
915;1163;Direct;1
915;1109;Direct;1
915;54;Direct;1
915;356;Direct;1
915;1023;Direct;1
915;1246;Direct;1
915;513;Direct;1
915;939;Direct;1
915;1219;Direct;1
915;1032;Direct;1
915;135;Direct;1
915;592;Direct;1
915;375;Direct;1
915;945;Direct;1
915;1118;Direct;1
915;1021;Direct;1
371;793;Direct;1
371;1118;Direct;1
371;1254;Direct;1
371;266;Direct;1
371;484;Direct;1
371;557;Direct;1
371;582;Direct;1
371;600;Direct;1
371;945;Direct;1
371;1298;Direct;1
371;911;Direct;1
371;1029;Direct;1
402;600;Direct;1
402;939;Direct;1
402;1118;Direct;1
402;1219;Direct;1
402;859;Direct;1
402;446;Direct;1
402;1166;Direct;1
402;665;Direct;1
402;793;Direct;1
402;337;Direct;1
402;914;Direct;1
402;61;Direct;1
402;221;Direct;1
402;835;Direct;1
402;1160;Direct;1
402;911;Direct;1
402;1254;Direct;1
405;945;Direct;1
405;310;Direct;1
405;62;Direct;1
405;1226;Direct;1
405;1163;Direct;1
405;1289;Direct;1
405;1118;Direct;1
405;213;Direct;1
405;275;Direct;1
405;974;Direct;1
405;363;Direct;1
